SPELLING,MEANING,LANGUAGE
acute,acute,English
axis,axis,English
basket,basket,English
beauty,beauty,English
become,become,English
belly button,belly button,English
boxed,boxed,English
bread,bread,English
chair,chair,English
cortex,cortex,English
costume,costume,English
curd,curd,English
cute,cute,English
dandruff,dandruff,English
demanding,demanding,English
display,display,English
embrace,embrace,English
even,even,English
few and far between,few and far between,English
fiery,fiery,English
flap,flap,English
front,front,English
full,full,English
happens,happens,English
hole,hole,English
hung,hung,English
hunting,hunting,English
inches,inches,English
jealous,jealous,English
levers,levers,English
longing,longing,English
luxury,luxury,English
marrow,marrow,English
mirror,mirror,English
modesty,modesty,English
monkey,monkey,English
of course,of course,English
others,others,English
outbreak,outbreak,English
parade,parade,English
pellets,pellets,English
pierce,pierce,English
pig,pig,English
portrait,portrait,English
post,post,English
praise,praise,English
rescue,rescue,English
rip off,rip off,English
sapwood,sapwood,English
scarce,scarce,English
scope,scope,English
servant,servant,English
set,set,English
spark,spark,English
suggestion,suggestion,English
terrifying,terrifying,English
tool,tool,English
tracing,tracing,English
traps,traps,English
trick,trick,English
underfoot,underfoot,English
watchtower,watchtower,English
we,we,English
wild,wild,English
aguda,acute,Spanish
eje,axis,Spanish
cesto,basket,Spanish
belleza,beauty,Spanish
hazte,become,Spanish
ombligo,belly button,Spanish
encajonada,boxed,Spanish
pan,bread,Spanish
sillon,chair,Spanish
corteza,cortex,Spanish
disfraz,costume,Spanish
cuajada,curd,Spanish
lindo,cute,Spanish
caspa,dandruff,Spanish
exigente,demanding,Spanish
abracen,embrace,Spanish
aun,even,Spanish
contadisimos,few and far between,Spanish
fogosa,fiery,Spanish
solapa,flap,Spanish
delante,front,Spanish
lleno,full,Spanish
acaece,happens,Spanish
agujero,hole,Spanish
colgado,hung,Spanish
caza,hunting,Spanish
pulgadas,inches,Spanish
celoso,jealous,Spanish
palancas,levers,Spanish
anhelo,longing,Spanish
lujo,luxury,Spanish
medulla,marrow,Spanish
espejito,mirror,Spanish
pudor,modesty,Spanish
mono,monkey,Spanish
por supuesto,of course,Spanish
demas,others,Spanish
brote,outbreak,Spanish
desfile,parade,Spanish
balines,pellets,Spanish
horadar,pierce,Spanish
cerdo,pig,Spanish
retrato,portrait,Spanish
palo,post,Spanish
alaban,praise,Spanish
rescatar,rescue,Spanish
arrancar,rip off,Spanish
albura,sapwood,Spanish
escaso,scarce,Spanish
alance,scope,Spanish
siervo,servant,Spanish
conjunto,set,Spanish
chispa,spark,Spanish
sugerencia,suggestion,Spanish
atterador,terrifying,Spanish
herramienta,tool,Spanish
calco,tracing,Spanish
trampas,traps,Spanish
truco,trick,Spanish
pisarla,underfoot,Spanish
atalaya,watchtower,Spanish
damos,we,Spanish
agreste,wild,Spanish